id,nom_aliment,colonne,ancienne_valeur,nouvelle_valeur,unité,source_principale,source_secondaire,justification,niveau_de_confiance,date
36032,"Poulet, poitrine, viande et peau rôties/cuites au four",Vitamine_E_mg_100g,,0.27,mg/100g,"USDA FoodData Central (SR Legacy) — Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",,"Correspondance exacte : viande et peau, rôtie.",Élevé,2026-08-04
9877,"Pâtes sèches, semi-complètes, cuites, sans sel ajouté",Vitamine_E_mg_100g,,0.1,mg/100g,"USDA FoodData Central (SR Legacy) — Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",,"51% blé complet correspond à ""semi-complètes"".",Élevé,2026-08-04
9341,"Quinoa, bouilli/cuit à l'eau, sans sel ajouté",Vitamine_E_mg_100g,,0.63,mg/100g,"USDA FoodData Central (SR Legacy) — Quinoa, cooked",,Correspondance exacte.,Élevé,2026-08-04
20045,"Radis rouge, cru",Vitamine_E_mg_100g,,0.0,mg/100g,"USDA FoodData Central (SR Legacy) — Radishes, raw",,Correspondance exacte ; valeur nulle biologiquement plausible.,Élevé,2026-08-04
20217,"Roquette, crue",Vitamine_E_mg_100g,,0.43,mg/100g,"USDA FoodData Central (SR Legacy) — Arugula, raw",,Correspondance exacte.,Élevé,2026-08-04
15010,"Sésame, graine",Vitamine_E_mg_100g,,0.25,mg/100g,"USDA FoodData Central (SR Legacy) — Seeds, sesame seeds, whole, dried",,Correspondance exacte.,Élevé,2026-08-04
15011,"Tournesol, graine",Vitamine_E_mg_100g,,35.17,mg/100g,"USDA FoodData Central (SR Legacy) — Seeds, sunflower seed kernels, dried",,Correspondance exacte ; valeur cohérente avec la littérature (graines de tournesol = source de référence de vitamine E).,Élevé,2026-08-04
27014,"Truite arc en ciel, élevage, rôtie/cuite au four",Vitamine_E_mg_100g,,2.79,mg/100g,"USDA FoodData Central (SR Legacy) — Fish, trout, rainbow, farmed, cooked, dry heat",,Correspondance exacte : cuisson chaleur sèche = rôtie/four.,Élevé,2026-08-04
20336,"Épinard, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,2.08,mg/100g,"USDA FoodData Central (SR Legacy) — Spinach, cooked, boiled, drained",,Correspondance exacte.,Élevé,2026-08-04
20059,"Épinard, cru",Vitamine_E_mg_100g,,2.03,mg/100g,"USDA FoodData Central (SR Legacy) — Spinach, raw",,Correspondance exacte.,Élevé,2026-08-04
6255,"Boeuf, steak haché 15% MG cuit",Vitamine_E_mg_100g,,0.12,mg/100g,"USDA FoodData Central (SR Legacy) — Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",,"Correspondance du taux de matière grasse (15% MG = 85% lean) ; forme cuisinée (patty grillé) proche mais non identique à ""steak haché cuit"" générique.",Moyen,2026-08-04
6251,"Boeuf, steak haché 5% MG cuit",Vitamine_E_mg_100g,,0.12,mg/100g,"USDA FoodData Central (SR Legacy) — Beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked",,"Correspondance du taux de matière grasse (5% MG = 95% lean) ; forme cuisinée (loaf au four) proche mais non identique à ""steak haché cuit"" générique.",Moyen,2026-08-04
26023,"Cabillaud, rôti/cuit au four",Vitamine_E_mg_100g,,0.81,mg/100g,"USDA FoodData Central (SR Legacy) — Fish, cod, Atlantic, cooked, dry heat",,Cabillaud = morue de l'Atlantique ; cuisson chaleur sèche compatible avec rôti/four. Espèce Atlantique non systématiquement précisée dans CIQUAL.,Moyen,2026-08-04
20312,"Chou-fleur, cuit à la vapeur",Vitamine_E_mg_100g,,0.07,mg/100g,"USDA FoodData Central (SR Legacy) — Cauliflower, cooked, boiled, drained, with salt",,Cuisson bouillie vs vapeur : méthodes différentes mais écart attendu négligeable pour une vitamine liposoluble non lessivable à l'eau.,Moyen,2026-08-04
12805,"Fromage de chèvre frais, type palet, crottin ou bûchette",Vitamine_E_mg_100g,,0.18,mg/100g,"USDA FoodData Central (SR Legacy) — Cheese, goat, soft type",,Proxy fromage de chèvre type frais/mou générique.,Moyen,2026-08-04
21518,"Agneau, gigot grillé/poêlé",Vitamine_E_mg_100g,,0.16,mg/100g,"USDA FoodData Central (SR Legacy) — Lamb, leg, shank half, separable lean and fat, cooked, roasted",,Gigot = leg ; cuisson rôtie proche de grillé/poêlé (chaleur sèche directe).,Moyen,2026-08-04
7300,Biscotte classique,Vitamine_E_mg_100g,,0.43,mg/100g,"USDA FoodData Central (SR Legacy) — Crackers, melba toast, plain",,"Proxy biscotte/pain grillé sec nature, catégorie de produit très proche.",Moyen,2026-08-04
20000,"Artichaut, cuit",Vitamine_E_mg_100g,,0.19,mg,"USDA FoodData Central (SR Legacy) — Artichokes, (globe or french), cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20074,"Artichaut, cuit à la vapeur sous pression",Vitamine_E_mg_100g,,0.19,mg,"USDA FoodData Central (SR Legacy) — Artichokes, (globe or french), cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20277,"Asperge blanche, bouillie/cuite à l'eau",Vitamine_E_mg_100g,,1.5,mg,"USDA FoodData Central (SR Legacy) — Asparagus, cooked, boiled, drained",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20076,"Asperge, appertisée, égouttée",Vitamine_E_mg_100g,,1.22,mg,"USDA FoodData Central (SR Legacy) — Asparagus, canned, drained solids",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20282,"Asperge, blanche ou violette, pelée, crue",Vitamine_E_mg_100g,,1.13,mg,"USDA FoodData Central (SR Legacy) — Asparagus, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20349,"Asperge, bouillie/cuite à l'eau (aliment moyen)",Vitamine_E_mg_100g,,1.5,mg,"USDA FoodData Central (SR Legacy) — Asparagus, cooked, boiled, drained",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20279,"Asperge, verte, crue",Vitamine_E_mg_100g,,1.13,mg,"USDA FoodData Central (SR Legacy) — Asparagus, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20053,"Aubergine, crue",Vitamine_E_mg_100g,,0.3,mg,"USDA FoodData Central (SR Legacy) — Eggplant, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20002,"Aubergine, cuite",Vitamine_E_mg_100g,,0.41,mg,"USDA FoodData Central (SR Legacy) — Eggplant, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20198,"Bambou, pousse, crue",Vitamine_E_mg_100g,,1.0,mg,"USDA FoodData Central (SR Legacy) — Bamboo shoots, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20188,"Bambou, pousses, appertisées, égouttées",Vitamine_E_mg_100g,,0.63,mg,"USDA FoodData Central (SR Legacy) — Bamboo shoots, canned, drained solids",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20123,"Batavia, crue",Vitamine_E_mg_100g,,0.22,mg,"USDA FoodData Central (SR Legacy) — Lettuce, green leaf, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Moyen,2026-08-04
20004,"Bette ou blette, côte (sans feuille), crue",Vitamine_E_mg_100g,,1.89,mg,"USDA FoodData Central (SR Legacy) — Chard, swiss, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20005,"Bette ou blette, côte (sans feuille), cuite",Vitamine_E_mg_100g,,1.89,mg,"USDA FoodData Central (SR Legacy) — Chard, swiss, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20301,"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",Vitamine_E_mg_100g,,1.89,mg,"USDA FoodData Central (SR Legacy) — Chard, swiss, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20296,"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)",Vitamine_E_mg_100g,,0.09,mg,"USDA FoodData Central (SR Legacy) — Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Moyen,2026-08-04
20302,"Brocoli, bouilli/cuit à l'eau, croquant",Vitamine_E_mg_100g,,1.45,mg,"USDA FoodData Central (SR Legacy) — Broccoli, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20303,"Brocoli, bouilli/cuit à l'eau, fondant",Vitamine_E_mg_100g,,1.45,mg,"USDA FoodData Central (SR Legacy) — Broccoli, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20351,"Brocoli, cuit (aliment moyen)",Vitamine_E_mg_100g,,1.45,mg,"USDA FoodData Central (SR Legacy) — Broccoli, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20304,"Brocoli, cuit à la vapeur",Vitamine_E_mg_100g,,1.45,mg,"USDA FoodData Central (SR Legacy) — Broccoli, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20007,"Carotte, appertisée, égouttée",Vitamine_E_mg_100g,,0.74,mg,"USDA FoodData Central (SR Legacy) — Carrots, canned, no salt added, drained solids",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20352,"Carotte, bouillie/cuite à l'eau (aliment moyen)",Vitamine_E_mg_100g,,1.03,mg,"USDA FoodData Central (SR Legacy) — Carrots, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20305,"Carotte, bouillie/cuite à l'eau, croquante",Vitamine_E_mg_100g,,1.03,mg,"USDA FoodData Central (SR Legacy) — Carrots, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20306,"Carotte, bouillie/cuite à l'eau, fondante",Vitamine_E_mg_100g,,1.03,mg,"USDA FoodData Central (SR Legacy) — Carrots, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20353,"Carotte, cuite (aliment moyen)",Vitamine_E_mg_100g,,1.03,mg,"USDA FoodData Central (SR Legacy) — Carrots, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20307,"Carotte, cuite à la vapeur",Vitamine_E_mg_100g,,1.03,mg,"USDA FoodData Central (SR Legacy) — Carrots, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20208,"Carotte, surgelée, crue",Vitamine_E_mg_100g,,0.66,mg,"USDA FoodData Central (SR Legacy) — Carrots, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20354,"Céleri branche, cuit (aliment moyen)",Vitamine_E_mg_100g,,0.35,mg,"USDA FoodData Central (SR Legacy) — Celery, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20314,"Céleri branche, cuit à l'étouffée",Vitamine_E_mg_100g,,0.35,mg,"USDA FoodData Central (SR Legacy) — Celery, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20055,"Céleri-rave, cru",Vitamine_E_mg_100g,,0.36,mg,"USDA FoodData Central (SR Legacy) — Celeriac, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20079,"Champignon de Paris ou champignon de couche, appertisé, égoutté",Vitamine_E_mg_100g,,0.01,mg,"USDA FoodData Central (SR Legacy) — Mushrooms, canned, drained solids",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20102,"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.01,mg,"USDA FoodData Central (SR Legacy) — Mushrooms, white, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20228,"Champignon de Paris ou champignon de couche, surgelé, cru",Vitamine_E_mg_100g,,0.01,mg,"USDA FoodData Central (SR Legacy) — Mushrooms, white, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20211,"Champignon, lentin comestible ou shiitaké, séché",Vitamine_E_mg_100g,,0.0,mg,"USDA FoodData Central (SR Legacy) — Mushrooms, shiitake, dried",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20011,"Champignon, tout type, appertisé, égoutté",Vitamine_E_mg_100g,,0.01,mg,"USDA FoodData Central (SR Legacy) — Mushrooms, canned, drained solids",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Moyen,2026-08-04
20308,"Chou blanc, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.14,mg,"USDA FoodData Central (SR Legacy) — Cabbage, common, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20340,"Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cru",Vitamine_E_mg_100g,,0.09,mg,"USDA FoodData Central (SR Legacy) — Cabbage, chinese (pak-choi), raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20339,"Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cuit",Vitamine_E_mg_100g,,0.09,mg,"USDA FoodData Central (SR Legacy) — Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20167,"Chou chinois pé-tsaï, cru",Vitamine_E_mg_100g,,0.09,mg,"USDA FoodData Central (SR Legacy) — Cabbage, chinese (pak-choi), raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20221,"Chou chinois pé-tsaï, sauté/poêlé",Vitamine_E_mg_100g,,0.09,mg,"USDA FoodData Central (SR Legacy) — Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20309,"Chou de Bruxelles, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.43,mg,"USDA FoodData Central (SR Legacy) — Brussels sprouts, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20218,"Chou frisé, cru",Vitamine_E_mg_100g,,0.66,mg,"USDA FoodData Central (SR Legacy) — Kale, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20219,"Chou frisé, cuit",Vitamine_E_mg_100g,,1.61,mg,"USDA FoodData Central (SR Legacy) — Kale, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20290,"Chou romanesco ou brocoli à pomme, cuit",Vitamine_E_mg_100g,,0.07,mg,"USDA FoodData Central (SR Legacy) — Cauliflower, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Moyen,2026-08-04
20095,"Chou rouge, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.12,mg,"USDA FoodData Central (SR Legacy) — Cabbage, red, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20355,"Chou rouge, cuit (aliment moyen)",Vitamine_E_mg_100g,,0.12,mg,"USDA FoodData Central (SR Legacy) — Cabbage, red, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20310,"Chou rouge, cuit à l'étouffée",Vitamine_E_mg_100g,,0.12,mg,"USDA FoodData Central (SR Legacy) — Cabbage, red, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20311,"Chou vert, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.14,mg,"USDA FoodData Central (SR Legacy) — Cabbage, common, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20015,"Chou vert, cuit",Vitamine_E_mg_100g,,0.14,mg,"USDA FoodData Central (SR Legacy) — Cabbage, common, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20017,"Chou-fleur, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.07,mg,"USDA FoodData Central (SR Legacy) — Cauliflower, cooked, boiled, drained, with salt",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20166,"Citrouille, chair sans peau, crue",Vitamine_E_mg_100g,,1.06,mg,"USDA FoodData Central (SR Legacy) — Pumpkin, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
20808,"Concombre, chair sans peau, avec pépins, cru, prélevé à la Martinique",Vitamine_E_mg_100g,,0.03,mg,"USDA FoodData Central (SR Legacy) — Cucumber, peeled, raw",,"Correspondance vérifiée manuellement (espèce, état de cuisson, partie consommée).",Élevé,2026-08-04
